IDENTIFIER,probID,GSM152804,GSM152805,GSM152806,GSM152807,GSM152808,GSM152809,GSM152810,GSM152811,GSM152812,GSM152813,GSM152814,GSM152815,GSM152816,GSM152817,GSM152818,GSM152819,GSM152820,GSM152821
CXCL12,33834_at,5.754470092,6.743921584,8.589750978,6.404528362,8.012330074,6.82851604,8.440335015,9.589339442,4.82319426,6.640303142,6.803349593,7.850629078,7.352347878,8.104873936,8.133143409,6.656949603,7.38645066,7.279065121
TSPYL4,33835_at,7.397776436,7.95264201,7.335588688,9.216250012,7.38668917,9.361256026,7.554551723,7.708952663,9.359998855,9.354038246,8.807303493,9.268753424,8.410512484,7.334064705,8.252275301,8.351026433,7.978202067,8.14598906
LOC100132247,33836_at,8.568852614,8.776236493,9.336613297,7.474285049,7.903168251,7.152167879,6.857139721,8.458815083,6.497972248,8.459736434,7.550147778,8.374782036,9.486121273,8.102498529,8.241651488,8.727191337,8.297348467,8.496636472
SRP72,33837_at,5.852674375,5.687706206,6.333424337,5.146327567,6.306052774,5.671980139,5.972002493,6.014574529,4.678766238,5.512921785,5.386586744,6.106621447,6.267214125,2.599429916,5.78622696,5.032291917,5.409091497,4.514988019
BAT3,33838_at,9.749221573,9.542987202,9.669187843,9.801095715,9.582843533,9.235947819,9.090794274,10.28302017,9.338776842,9.054877042,9.205742189,9.212211344,9.441708631,9.495014019,9.48294228,9.392114335,9.838764809,9.680492036
ITPR2,33839_at,8.057398644,7.108001961,6.296432628,7.676683396,7.205123948,7.223136456,8.899909154,8.182245805,7.119816294,6.99867294,7.218826615,7.013020306,8.034099871,7.690810293,7.168498458,7.372530011,8.088553365,8.161584286
TPD52,33840_at,5.962611647,5.730409089,5.836226748,6.518940113,5.317964902,7.355752042,6.307690791,5.254043409,6.124916507,7.076507555,6.841017998,7.228360914,5.711435732,5.398829387,5.140640437,5.947520402,6.774446952,6.383856108
KIAA1539,33841_at,8.372269342,7.693042722,7.991464983,7.944740572,8.245717021,7.425198203,9.040946818,7.95821059,7.692565737,7.944086266,7.942614582,7.733840336,7.957242714,8.565250503,7.942614582,8.285424837,7.805746483,7.884502192
KIAA1539,33842_at,6.720398114,6.726244446,5.405243595,6.612714697,6.943629223,6.109660687,6.645069071,7.265169578,6.432623251,5.521258245,6.107509692,6.424928429,5.390025161,6.669690265,6.676504559,6.414904673,6.922300264,6.747144574
KIAA1539,33843_g_at,7.993796043,8.196812439,6.664624329,8.628910597,7.148894227,9.017892027,7.566832839,8.504786113,8.665971962,8.152278066,8.693782578,8.778070559,6.926869151,7.216556403,6.879156193,8.801141754,9.018186273,9.097368783
RQCD1,33844_at,7.716770194,8.004789068,7.210790906,7.826731095,8.018998571,7.739028623,8.367207144,8.115515978,7.74315447,7.605165858,7.797811324,7.845024173,8.181241362,7.800447906,8.237107437,7.912071136,7.203354446,7.580553938
HNRNPH1,33845_at,9.773017405,10.65820929,10.65086578,10.61865105,10.48105905,10.26319837,9.823302006,10.92419332,9.484484719,10.81439404,10.86847196,10.57614044,11.49530081,10.94954225,10.33521166,10.84761485,10.45039445,10.79684385
AA620377,33846_at,3.446410749,3.540410442,3.659111347,2.759862705,3.925102579,3.085018915,4.94247324,4.91197448,4.253765696,5.192417342,3.212846119,4.867190584,3.034627796,5.986800599,5.047677022,3.344438915,2.885438909,3.070228007
CDKN1B,33847_s_at,7.113249402,6.529692167,7.519588271,7.318824239,6.61125243,7.562701456,0.976693968,6.456432047,7.099934565,7.550147778,6.962819848,7.237266571,7.002468149,6.860320052,6.965991739,6.25978397,5.910155021,6.762148617
CDKN1B,33848_r_at,4.717111139,5.529950976,6.026284006,5.851734373,2.909875582,5.275422339,2.38148604,5.179137407,5.233286301,5.362009558,5.123116837,5.098446418,5.205599314,5.005756917,4.86094724,4.551992836,4.994218603,5.353062848
NAMPT,33849_at,7.504141895,8.660735717,6.374831383,9.132039238,8.360215427,8.981447615,10.5015677,8.437202467,7.878284743,8.179465715,8.198510961,8.015902532,5.573055448,8.168931653,8.234141468,7.045749928,6.215194335,6.770099186
MAP4,33850_at,7.415321413,9.241421321,9.258843191,7.206050174,9.210943557,7.394902576,6.932564777,9.015984887,7.574643265,7.496427331,7.316045002,8.04939222,7.346658456,9.563796253,9.013700644,8.017499684,8.311113327,7.988991856
C16orf80,33851_at,4.628169196,5.229432411,3.527902219,5.239765592,4.844742227,4.233995173,7.182164944,4.712391664,6.687579345,4.07817339,5.015873467,4.84755697,4.280172424,4.889339153,4.504191723,4.429901901,6.00455686,4.689899956
TIA1,33852_at,7.167578677,6.968235696,8.011443623,7.039925189,6.822360178,6.261496815,6.017312235,3.614085438,6.335186676,7.491590211,6.991171244,6.640465942,7.772996331,5.99005712,6.115115291,6.993002321,7.206324,7.195203678
NRP2,33853_s_at,3.560165981,4.66523248,4.763838196,3.995399468,4.366587158,5.992484709,6.600882112,5.81931677,4.625993915,3.766398457,4.035377473,6.128473312,5.179137407,4.968436534,4.585678854,6.734455581,4.973785421,5.516712863
